Year,Month,Heat Wave Days,Number of Events,Year,Month,Cold Wave Days,Number of Events,Year,Month,Month_Name,heavy_precip_days,Number of Events,Year,Month,Month_Name,heavy_snow_days,Number of Events
2019,6,4,1,2019,1,14,2,2019,6,June,3,1,2021,2,February,3,1
2019,7,17,3,2019,2,10,2,2020,8,August,3,1,2022,1,January,2,1
2019,8,8,1,2019,3,7,1,2021,7,July,3,1,2024,1,January,1,1
2020,6,3,1,2019,12,9,2,2023,12,December,3,1,,,,,
2020,7,18,3,2020,1,6,1,2024,3,March,4,1,,,,,
2020,8,6,2,2020,12,11,2,,,,,,,,,,
2021,6,10,3,2021,1,13,2,,,,,,,,,,
2021,7,8,2,2021,2,18,2,,,,,,,,,,
2021,8,11,2,2022,1,16,4,,,,,,,,,,
2022,6,1,1,2022,2,7,2,,,,,,,,,,
2022,7,16,2,2022,12,8,2,,,,,,,,,,
2022,8,17,2,2023,2,4,1,,,,,,,,,,
2023,7,12,3,2024,1,15,3,,,,,,,,,,
2023,8,3,1,2024,2,5,1,,,,,,,,,,
2023,9,7,1,2024,12,14,2,,,,,,,,,,
2024,6,7,1,,,,,,,,,,,,,,
2024,7,14,3,,,,,,,,,,,,,,
2024,8,6,1,,,,,,,,,,,,,,